prompt,completion
"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","[{'term': 'tables', 'polarity': 'negative'}, {'term': 'menu', 'polarity': 'neutral'}, {'term': 'wine list', 'polarity': 'negative'}]"
Slightly above average wines start at $70+ with only one selection listed at $30+.,"[{'term': 'wines', 'polarity': 'negative'}]"
Service is not what one would expect from a joint in this price category.,"[{'term': 'Service', 'polarity': 'negative'}]"
"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc....","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Somehow working the italian charm with constant mille grazie does not constitute proper service.,"[{'term': 'service', 'polarity': 'negative'}]"
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'Teodora', 'polarity': 'negative'}]"
"To celebrate a birthday, three of us went to Mare anticipating great food.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,"[{'term': 'meals', 'polarity': 'negative'}, {'term': 'rosemary or orange flavoring', 'polarity': 'negative'}]"
Fish was overdone.,"[{'term': 'Fish', 'polarity': 'negative'}]"
"Cute place, nice wait staff but would never go there again.","[{'term': 'wait staff', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
Someone else recommended the dessert - we also left that.,"[{'term': 'dessert', 'polarity': 'negative'}]"
One of us actually liked the expresso - that's it.,"[{'term': 'expresso', 'polarity': 'positive'}]"
"Skip this restaurant, it's a big disappointment.","[{'term': 'restaurant', 'polarity': 'negative'}]"
Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,"[{'term': 'Myagi', 'polarity': 'positive'}]"
I've never had bad service and the fish is fresh and delicious.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'fish', 'polarity': 'positive'}]"
Their tuna tartar appetizer is to die for.,"[{'term': 'tuna tartar appetizer', 'polarity': 'positive'}]"
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.","[{'term': 'pizza', 'polarity': 'positive'}]"
It is simply amazing.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The place is so cool and the service is prompt and curtious.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
I highly recommend to anyone to give this place a try.,"[{'term': 'place', 'polarity': 'positive'}]"
You will find yourself returning quite often.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
P.S. Please don't tell anyone in my family i eat there.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
LOL,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]"
No gimmicks here -- the food speaks for itself in its freshness and preparation.,"[{'term': 'food', 'polarity': 'positive'}]"
The dining room is quietly elegant with no music to shout over -- how refreshing!,"[{'term': 'dining room', 'polarity': 'positive'}]"
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]"
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'restaurant', 'polarity': 'positive'}]"
Beautiful experience.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The view is breathtaking the service is top notch... the ambiance is wonderfull.,"[{'term': 'view', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'ambiance', 'polarity': 'positive'}]"
The staff offers impeccable service.,"[{'term': 'staff', 'polarity': 'positive'}]"
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,"[{'term': 'Lobster Bisque', 'polarity': 'positive'}]"
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,"[{'term': 'New England Chowder', 'polarity': 'positive'}, {'term': 'Lobster Bisque', 'polarity': 'positive'}]"
I had Filet Mignon with garlic mash.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
It was divine melts in your mouth.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
My boyfriend had Prime Rib it was good .,"[{'term': 'Prime Rib', 'polarity': 'positive'}]"
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough.,"[{'term': 'bottles of Korbett', 'polarity': 'positive'}]"
We had Lava Cake... we ordered when our food came it takes at least a 1/2 to make it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
It's cuz it's so good you need to taste it!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,"[{'term': 'food', 'polarity': 'positive'}]"
If you like spicy food get the chicken vindaloo.,"[{'term': 'chicken vindaloo', 'polarity': 'positive'}]"
It's very spicy but not offensive.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We will definitely go back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Go to Volare for 1st class service and terrific food.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
The portions are large and the servers always surprise us with a different starter.,"[{'term': 'portions', 'polarity': 'positive'}, {'term': 'servers', 'polarity': 'positive'}]"
The wine list is excellent.,"[{'term': 'wine list', 'polarity': 'positive'}]"
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'selection of wines', 'polarity': 'positive'}, {'term': ""Chef's tasting menu"", 'polarity': 'positive'}]"
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'negative'}]"
People dress in suits or evening gowns as well as shirts jeans.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"[{'term': 'food', 'polarity': 'negative'}, {'term': 'prixe fixe tasting menu', 'polarity': 'positive'}]"
"Recommendations, of course, are required!","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Please be aware that it's CASH or AMEX only!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'lemon salad', 'polarity': 'negative'}]"
The menu is very limited - i think we counted 4 or 5 entrees.,"[{'term': 'menu', 'polarity': 'negative'}]"
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[{'term': 'grilled branzino', 'polarity': 'negative'}]"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.","[{'term': 'decor', 'polarity': 'neutral'}]"
Problem is nothing at Prune is particularly memorable.,"[{'term': 'Prune', 'polarity': 'negative'}]"
No plans to return anytime soon.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This place is so much fun.,"[{'term': 'place', 'polarity': 'positive'}]"
Our family never expected such incredible entertainment in a restaurant.,"[{'term': 'restaurant', 'polarity': 'positive'}]"
This place must have cost the owners afortune to build.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I think the stuff was better than Disney.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Our food was great too!,"[{'term': 'food', 'polarity': 'positive'}]"
And really large portions.,"[{'term': 'portions', 'polarity': 'positive'}]"
The staff was the friendliest that have seen in New York.,"[{'term': 'staff', 'polarity': 'positive'}]"
We will go back every time we are in the City.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
If you want something really different than try Jekyll and Hyde.,"[{'term': 'Jekyll and Hyde', 'polarity': 'positive'}]"
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The food was pretty tradional but it was hot and good with large portions.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'positive'}]"
I highly recommend it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I am going to the mid town location next.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The place is a lot of fun.,"[{'term': 'place', 'polarity': 'positive'}]"
My six year old loved it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The characters really make for an enjoyable experience.,"[{'term': 'characters', 'polarity': 'positive'}]"
"The food however, is what one might expect.","[{'term': 'food', 'polarity': 'negative'}]"
It is very overpriced and not very tasty.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.","[{'term': 'Jeckll and Hydes', 'polarity': 'positive'}]"
We had a good time.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Service was slow had to wait to order and get food although not crowded.,"[{'term': 'Service', 'polarity': 'negative'}]"
Drinks way over priced.,"[{'term': 'Drinks', 'polarity': 'negative'}]"
Food was good not great not worth the wait or another visit,"[{'term': 'Food', 'polarity': 'neutral'}]"
Great pizza for lunch place.,"[{'term': 'pizza', 'polarity': 'positive'}]"
Service was quick.,"[{'term': 'Service', 'polarity': 'positive'}]"
The pizza was great.,"[{'term': 'pizza', 'polarity': 'positive'}]"
And it was quick which is very important.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Have the iced tea.,"[{'term': 'iced tea', 'polarity': 'positive'}]"
It was wonderful.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.","[{'term': 'fish', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
Delivery is fast too.,"[{'term': 'Delivery', 'polarity': 'positive'}]"
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'seating', 'polarity': 'positive'}, {'term': 'Delivery', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'positive'}]"
A little overpriced but worth it once you take a bite.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Growing up in NY, I have eaten my share of bagels.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,"[{'term': 'bagel', 'polarity': 'positive'}]"
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.","[{'term': 'bagels', 'polarity': 'positive'}]"
They have a huge selection of different cream cheeses and all of their salads are great.,"[{'term': 'salads', 'polarity': 'positive'}, {'term': 'cream cheeses', 'polarity': 'positive'}]"
The lox is always fresh too.,"[{'term': 'lox', 'polarity': 'positive'}]"
Highly recommended to all!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I have to agree with the previous reviewer.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I don't get it either.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Not impressed with the food.,"[{'term': 'food', 'polarity': 'negative'}]"
Prices too high for this cramped and unappealing resturant.,"[{'term': 'resturant', 'polarity': 'negative'}]"
Zero ambiance to boot.,"[{'term': 'ambiance', 'polarity': 'negative'}]"
I thought this place was totally overrated.,"[{'term': 'place', 'polarity': 'negative'}]"
Everything we had was good or ok....but definitely nothing great.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The ambience was nice, but service wasn't so great.","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]"
"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,"[{'term': 'Shabu-Shabu Restaurant', 'polarity': 'positive'}]"
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'feel', 'polarity': 'positive'}]"
Thius is a must for anyone who loves Shabu-Shabu.,"[{'term': 'Shabu-Shabu', 'polarity': 'positive'}]"
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
The owner and staff are all Japanese as well and that adds to the entire ambiance.,"[{'term': 'owner', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}, {'term': 'ambiance', 'polarity': 'positive'}]"
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","[{'term': 'menu', 'polarity': 'negative'}]"
I must give it Yon out of Yon stars!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Taxan delicious!,"[{'term': 'Taxan', 'polarity': 'positive'}]"
Arigato Gozimas Yuka!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!","[{'term': 'noaspectterm', 'polarity': 'none'}]"
We weren't!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The prices were CHEAP compared to the quality of service and food.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"We liked it so much, that we will always make it a point to dine here when we visit New York.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Went there for an office lunch.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The location and ambience is Ok but the food is what makes up for it.,"[{'term': 'location', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]"
There is a lot of variety even for people who eat vegetarian like me.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Try green curry with vegetables.,"[{'term': 'green curry with vegetables', 'polarity': 'positive'}]"
"The quantity is also very good, you will come out satisfied.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The service is ok, some of the people didn't get what they asked for.","[{'term': 'service', 'polarity': 'neutral'}]"
I was there on sat. for my birthday and we had an excellent time.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I had the best ravioli ever.,"[{'term': 'ravioli', 'polarity': 'positive'}]"
The wine the service was very good too.,"[{'term': 'wine', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
Moderate prices.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
A little noise but I think that was because of our party!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Molto bene!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,"[{'term': 'trattoria', 'polarity': 'positive'}]"
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}, {'term': 'specials', 'polarity': 'positive'}, {'term': 'regular menu-fare', 'polarity': 'positive'}]"
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.","[{'term': 'parmesean porcini souffle', 'polarity': 'positive'}, {'term': 'lamb glazed with balsamic vinegar', 'polarity': 'positive'}]"
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","[{'term': 'candle-light', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'tables', 'polarity': 'negative'}]"
A guaranteeed delight!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'positive'}]"
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.","[{'term': 'marinara/arrabiatta sauce', 'polarity': 'positive'}, {'term': 'mozzarella en Carozza', 'polarity': 'positive'}]"
Check out the secret back room.,"[{'term': 'back room', 'polarity': 'positive'}]"
Old school meets New world.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I pray it stays open forever.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Thank You Emilio.,"[{'term': 'Emilio', 'polarity': 'positive'}]"
Ciao Bella,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I found the food, service and value exceptional everytime I have been there.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
The food was authentic.,"[{'term': 'food', 'polarity': 'positive'}]"
I felt as though I were eating in Paris.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The service was excellent - friendly and attentive.,"[{'term': 'service', 'polarity': 'positive'}]"
The prices are wonderfully low.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Very good wine choices.,"[{'term': 'wine choices', 'polarity': 'positive'}]"
I can't believe people complain about no cheese sticks?,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Who has room for Cheesesticks with the best pizza in NYC!,"[{'term': 'pizza', 'polarity': 'positive'}]"
Get the pepperoni - YUM - and a family style salad.,"[{'term': 'pepperoni', 'polarity': 'positive'}, {'term': 'family style salad', 'polarity': 'positive'}]"
Great staff.,"[{'term': 'staff', 'polarity': 'positive'}]"
Always great service!,"[{'term': 'service', 'polarity': 'positive'}]"
I go twice a month!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Fantastic!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The food is good, I can't lie.","[{'term': 'food', 'polarity': 'positive'}]"
But the staff was so horrible to us.,"[{'term': 'staff', 'polarity': 'negative'}]"
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,"[{'term': 'hostess', 'polarity': 'negative'}, {'term': 'waitress', 'polarity': 'negative'}]"
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"[{'term': 'waitress', 'polarity': 'negative'}]"
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","[{'term': 'place', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]"
Save yourself the time and trouble and skip this one!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I'll keep this short.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Amma is nothing special.,"[{'term': 'Amma', 'polarity': 'neutral'}]"
The two star chefs left quite some time ago to open their own place.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I ate here a week ago and found most dishes average at best and too expensive.,"[{'term': 'dishes', 'polarity': 'negative'}]"
Will not be back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.","[{'term': 'vegetarian dishes', 'polarity': 'negative'}, {'term': 'non-veg selections', 'polarity': 'positive'}]"
Decor is nice though service can be spotty.,"[{'term': 'Decor', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]"
This place is always packed.,"[{'term': 'place', 'polarity': 'neutral'}]"
I know because I live nearby.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Most importantly, food is excellent.","[{'term': 'food', 'polarity': 'positive'}]"
Try the sea bass.,"[{'term': 'sea bass', 'polarity': 'positive'}]"
Highly recommended.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
First of all Dal Bukhara Rocks.,"[{'term': 'Dal Bukhara', 'polarity': 'positive'}]"
As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I am happy i did the food was awsome.,"[{'term': 'food', 'polarity': 'positive'}]"
JUST AWSOME.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
and yes Dal Bukhara is so dam good and so are all the kababs.,"[{'term': 'kababs', 'polarity': 'positive'}, {'term': 'Dal Bukhara', 'polarity': 'positive'}]"
They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
but overall i give it a 10,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
10,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I haven't been to the other locations.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Haru on Park S is simply disgusting.,"[{'term': 'Haru on Park S', 'polarity': 'negative'}]"
The fish was not fresh and the rice tasted old and stale.,"[{'term': 'fish', 'polarity': 'negative'}, {'term': 'rice', 'polarity': 'negative'}]"
"Quite frankly, this is some of the worst sushi I have ever tried.","[{'term': 'sushi', 'polarity': 'negative'}]"
Will never be back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
honestly the worst sushi my husband and i had in our entire lives.,"[{'term': 'sushi', 'polarity': 'negative'}]"
"believe us, we've been eating sushi for over 15 yrs.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
not sure why this restaurant would be rated that highly.,"[{'term': 'restaurant', 'polarity': 'negative'}]"
the all-u-can-eat sushi is definitely in very poor quality.,"[{'term': 'all-u-can-eat sushi', 'polarity': 'negative'}]"
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.","[{'term': 'menu', 'polarity': 'negative'}, {'term': 'ingredients', 'polarity': 'negative'}, {'term': 'fish', 'polarity': 'negative'}, {'term': 'rice', 'polarity': 'negative'}]"
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.","[{'term': 'soy sauce', 'polarity': 'negative'}, {'term': 'rice', 'polarity': 'negative'}]"
the waitstaffs are nice though.,"[{'term': 'waitstaffs', 'polarity': 'positive'}]"
wont come back again for sure!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I have been to Roth's twice and both times were very disappointing.,"[{'term': ""Roth's"", 'polarity': 'negative'}]"
Once for dinner and once for brunch.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Both times I was extremely dissappointed by the service, which was boarderline rude.","[{'term': 'service', 'polarity': 'negative'}]"
They wouldnt even let me finish my glass of wine before offering another.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Much of the time it seems like they do not care about you.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The dinner was ok, nothing I would have again.","[{'term': 'dinner', 'polarity': 'negative'}]"
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","[{'term': 'eggs benedict', 'polarity': 'negative'}]"
This was a great surprise.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
With the theater 2 blocks away we had a delicious meal in a beautiful room.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'room', 'polarity': 'positive'}]"
The service was attentive.,"[{'term': 'service', 'polarity': 'positive'}]"
I look forward to eating here again,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Planet Thai is great!,"[{'term': 'Planet Thai', 'polarity': 'positive'}]"
"We love the food, drinks, and atmosphere!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]"
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","[{'term': 'svc', 'polarity': 'negative'}, {'term': 'restaurant', 'polarity': 'positive'}]"
"Try the Pad Thai, it's fabulous and their prices are so cheap!","[{'term': 'Pad Thai', 'polarity': 'positive'}]"
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!","[{'term': 'portions', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"Just remember, the later you go, the longer you may have to wait.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
It's popular w/the late crowd.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","[{'term': 'sandwiches', 'polarity': 'negative'}]"
"Overall, not worth the money.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
I love Indian food and consider myself to be quite an expert on it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Chennai Garden is my favorite Indian restaurant in the city.,"[{'term': 'Chennai Garden', 'polarity': 'positive'}]"
They have authentic Indian at amazin prices.,"[{'term': 'Indian', 'polarity': 'positive'}]"
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,"[{'term': 'dishes', 'polarity': 'negative'}]"
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[{'term': 'seats', 'polarity': 'negative'}]"
It's a rather cramped and busy restaurant and it closes early.,"[{'term': 'restaurant', 'polarity': 'negative'}]"
Patroon features a nice cigar bar and has great staff.,"[{'term': 'cigar bar', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]"
The food is tasty and portion sizes are appropriate.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'portion sizes', 'polarity': 'positive'}]"
